frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps
900,89.99991,1,truck,351.5651556754317,5.406162638182098,False,1.0,,,
900,89.99991,2,truck,322.3032398700477,3.787675469186717,False,0.0,8.665474368427567,3,
900,89.99991,3,truck,330.9687142384753,3.9257889359567217,False,0.0,,,2.4955489924583416
901,90.0999099,3,truck,331.2182688881662,3.921423582602115,False,0.0,,,3.1294974689553783
902,90.1999098,3,truck,331.5593296949072,3.9230124504741277,False,0.0,,,3.5947763116860187
903,90.2999097,3,truck,331.9001204861211,3.9219413162541197,False,0.0,,,3.6162834879257844
904,90.3999096,3,truck,332.32663222416454,3.9293663739307374,False,0.0,,,3.842615664763798
905,90.4999095,3,truck,332.6817658643816,3.91818676440216,False,0.0,,,3.977077678271371
906,90.5999094,3,truck,333.1214971339024,3.9148557820374736,False,0.0,,,4.030182692748667
907,90.6999093,3,truck,333.49871327131933,3.9017564680826076,False,0.0,,,4.05803356899446
908,90.7999092,3,truck,333.93781061090266,3.9160669941731077,False,0.0,,,4.132345523461254
909,90.8999091,3,truck,334.3191207619488,3.9400537570510368,False,0.0,,,4.206757189462451
910,90.999909,3,truck,334.7473068375581,3.9406740631188577,False,0.0,,,4.242308155508908
911,91.09990889999999,3,truck,335.18829755184186,3.9395026497837327,False,0.0,,,4.321228048866487
912,91.19990879999999,3,truck,335.63866583608507,3.9322869683753305,False,0.0,,,4.412760854748285
913,91.29990869999999,3,truck,336.0401619593372,3.934285522979393,False,0.0,,,9.22927444977745
914,91.39990859999999,3,truck,336.5379931411524,3.9540971426102636,False,0.0,,,14.22945757595221
915,91.49990849999999,3,bus,336.9411909003418,3.9562899056199057,False,1.0,18.04353328089485,10,13.215009595091708
925,92.49990749999999,3,truck,342.22367870956106,3.9515301391552855,False,0.0,,,13.855725336627984
926,92.59990739999999,3,truck,342.83272802486056,3.9470814260731095,False,0.0,,,15.250168184852328
927,92.69990729999999,3,truck,343.45874398628706,3.952427018037194,False,0.0,,,10.741396259141766
928,92.79990719999999,3,truck,344.08444863537943,3.9611564627729763,False,1.0,,,6.134189240440037
929,92.8999071,3,truck,344.6448883407988,3.970095586103928,False,1.0,,,6.194100035257861
930,92.999907,3,truck,345.2613667868496,3.9577156338356,False,1.0,,,6.256112610701393
931,93.0999069,3,truck,345.929223053823,3.9585004877038057,False,1.0,,,6.421923699389936
932,93.1999068,3,truck,346.55634279848226,3.95900053799415,False,1.0,,,6.573636100383737
933,93.2999067,3,truck,347.2429561777733,3.954891294456093,False,0.0,,,6.692647478849949
934,93.3999066,3,truck,347.90829807587136,3.9594338846379094,False,1.0,,,6.948749314083216
